Id,Category
1,4
2,0
3,9
4,6
5,9
6,9
7,6
8,9
9,4
10,0
11,4
12,0
13,1
14,6
15,6
16,6
17,9
18,6
19,4
20,9
21,7
22,3
23,7
24,6
25,6
26,9
27,2
28,6
29,4
30,4
31,0
32,7
33,1
34,6
35,4
36,2
37,9
38,4
39,6
40,4
41,6
42,9
43,8
44,3
45,8
46,3
47,5
48,8
49,8
50,6
51,4
52,7
53,2
54,0
55,8
56,2
57,4
58,9
59,9
60,5
61,2
62,6
63,3
64,1
65,8
66,5
67,8
68,9
69,2
70,1
71,6
72,4
73,9
74,0
75,1
76,6
77,3
78,4
79,5
80,7
81,1
82,1
83,0
84,6
85,0
86,0
87,1
88,2
89,0
90,5
91,4
92,5
93,2
94,6
95,0
96,8
97,4
98,4
99,8
100,7
101,9
102,8
103,4
104,8
105,0
106,6
107,8
108,2
109,7
110,2
111,4
112,6
113,0
114,8
115,4
116,6
117,9
118,3
119,6
120,6
121,0
122,2
123,0
124,8
125,6
126,0
127,2
128,1
129,8
130,1
131,1
132,6
133,1
134,1
135,3
136,2
137,2
138,3
139,4
140,3
141,1
142,2
143,3
144,9
145,9
146,9
147,2
148,8
149,3
150,9
151,0
152,6
153,4
154,6
155,5
156,6
157,0
158,6
159,6
160,0
161,4
162,7
163,8
164,0
165,5
166,0
167,3
168,4
169,2
170,5
171,2
172,6
173,7
174,1
175,0
176,6
177,0
178,1
179,1
180,4
181,4
182,1
183,6
184,1
185,2
186,7
187,5
188,6
189,0
190,2
191,6
192,5
193,2
194,6
195,8
196,6
197,1
198,1
199,5
200,3
201,8
202,8
203,9
204,3
205,7
206,6
207,5
208,0
209,4
210,9
211,0
212,1
213,2
214,4
215,9
216,4
217,2
218,5
219,6
220,6
221,1
222,6
223,6
224,4
225,2
226,4
227,8
228,4
229,2
230,9
231,6
232,6
233,1
234,4
235,3
236,1
237,6
238,4
239,2
240,4
241,2
242,9
243,5
244,8
245,1
246,4
247,9
248,0
249,2
250,5
251,8
252,8
253,0
254,6
255,5
256,2
257,6
258,0
259,6
260,1
261,2
262,0
263,2
264,1
265,2
266,4
267,2
268,0
269,5
270,2
271,9
272,6
273,8
274,3
275,0
276,6
277,4
278,5
279,1
280,8
281,6
282,5
283,2
284,0
285,8
286,9
287,3
288,1
289,6
290,4
291,7
292,9
293,6
294,6
295,6
296,0
297,6
298,9
299,0
300,6
301,6
302,2
303,3
304,8
305,7
306,3
307,9
308,0
309,8
310,5
311,7
312,8
313,2
314,1
315,1
316,7
317,4
318,5
319,9
320,3
321,2
322,0
323,7
324,8
325,8
326,2
327,8
328,0
329,7
330,6
331,7
332,1
333,4
334,6
335,6
336,5
337,4
338,1
339,8
340,2
341,3
342,3
343,3
344,6
345,8
346,6
347,4
348,4
349,5
350,6
351,2
352,7
353,0
354,9
355,7
356,9
357,6
358,4
359,8
360,6
361,6
362,5
363,6
364,3
365,5
366,0
367,5
368,8
369,8
370,1
371,6
372,8
373,9
374,2
375,2
376,4
377,1
378,1
379,1
380,9
381,6
382,8
383,0
384,3
385,6
386,9
387,5
388,1
389,2
390,0
391,1
392,6
393,1
394,6
395,2
396,2
397,5
398,6
399,0
400,3
401,3
402,5
403,6
404,0
405,4
406,0
407,6
408,1
409,9
410,6
411,8
412,4
413,6
414,9
415,1
416,4
417,6
418,5
419,1
420,1
421,6
422,6
423,8
424,0
425,3
426,3
427,9
428,1
429,0
430,0
431,0
432,5
433,2
434,6
435,8
436,2
437,4
438,3
439,1
440,0
441,2
442,0
443,7
444,2
445,7
446,4
447,2
448,6
449,4
450,3
451,0
452,9
453,2
454,6
455,1
456,2
457,4
458,9
459,6
460,6
461,6
462,4
463,6
464,6
465,6
466,4
467,1
468,2
469,6
470,0
471,1
472,4
473,8
474,6
475,9
476,1
477,7
478,5
479,7
480,1
481,0
482,5
483,7
484,8
485,4
486,6
487,4
488,4
489,1
490,8
491,2
492,1
493,3
494,4
495,5
496,4
497,1
498,1
499,7
500,6
501,3
502,0
503,0
504,6
505,7
506,7
507,9
508,0
509,4
510,4
511,8
512,3
513,9
514,4
515,6
516,3
517,7
518,6
519,8
520,6
521,6
522,1
523,0
524,2
525,6
526,8
527,5
528,9
529,4
530,4
531,5
532,1
533,9
534,3
535,0
536,0
537,6
538,4
539,0
540,6
541,3
542,7
543,3
544,4
545,1
546,5
547,5
548,9
549,2
550,5
551,2
552,1
553,0
554,1
555,6
556,0
557,3
558,6
559,0
560,1
561,6
562,9
563,6
564,4
565,8
566,7
567,2
568,2
569,0
570,2
571,6
572,7
573,4
574,6
575,8
576,3
577,0
578,7
579,6
580,9
581,4
582,3
583,3
584,3
585,0
586,3
587,5
588,1
589,3
590,2
591,7
592,6
593,2
594,6
595,6
596,0
597,2
598,4
599,8
600,5
601,0
602,5
603,7
604,6
605,9
606,9
607,6
608,2
609,0
610,9
611,2
612,8
613,2
614,2
615,5
616,5
617,6
618,6
619,3
620,7
621,6
622,0
623,0
624,8
625,2
626,3
627,6
628,4
629,7
630,9
631,6
632,1
633,4
634,4
635,6
636,1
637,6
638,4
639,6
640,4
641,2
642,9
643,7
644,7
645,7
646,7
647,2
648,2
649,0
650,9
651,3
652,1
653,6
654,4
655,4
656,8
657,6
658,1
659,5
660,5
661,6
662,1
663,0
664,5
665,1
666,8
667,4
668,7
669,3
670,1
671,9
672,3
673,9
674,6
675,4
676,5
677,6
678,5
679,4
680,9
681,7
682,9
683,3
684,5
685,1
686,4
687,8
688,6
689,4
690,9
691,2
692,7
693,3
694,6
695,7
696,0
697,6
698,4
699,9
700,6
701,8
702,0
703,1
704,1
705,5
706,3
707,8
708,6
709,6
710,0
711,5
712,2
713,6
714,0
715,6
716,7
717,3
718,4
719,1
720,2
721,7
722,8
723,7
724,3
725,9
726,1
727,5
728,6
729,6
730,8
731,9
732,0
733,0
734,2
735,5
736,1
737,2
738,6
739,0
740,2
741,6
742,6
743,4
744,1
745,2
746,4
747,9
748,1
749,3
750,2
751,4
752,5
753,6
754,9
755,2
756,9
757,6
758,9
759,2
760,9
761,3
762,7
763,2
764,9
765,6
